Time [s],Gauge Pressure,Inspiratory differenrtial pressure,Expiratory differenrtial pressure
0,8398,8175,8205
0.0193490000000054,8401,8178,8205
0.0226590000000044,8404,8175,8205
0.0312550000000016,8409,8175,8208
0.0384680000000017,8409,8175,8205
0.047193,8412,8175,8210
0.0579910000000012,8417,8175,8208
0.0709599999999995,8417,8175,8208
0.0766260000000045,8420,8175,8210
0.0878950000000032,8420,8175,8208
0.0989710000000059,8414,8178,8208
0.110249000000003,8412,8178,8205
0.119377,8404,8178,8205
0.128443000000004,8398,8178,8205
0.140191000000002,8396,8181,8205
0.149599000000002,8398,8181,8205
0.161301000000002,8396,8178,8205
0.170433000000003,8398,8178,8203
0.178494000000001,8398,8178,8205
0.189999,8406,8175,8205
0.201221000000004,8401,8173,8205
0.209518000000003,8404,8178,8205
0.218566000000003,8409,8175,8205
0.230124000000004,8406,8175,8208
0.241859000000005,8414,8175,8205
0.248442000000004,8414,8178,8205
0.260139000000002,8420,8175,8208
0.268357000000002,8420,8175,8210
0.280131000000004,8423,8178,8210
0.286616000000002,8428,8175,8210
0.298346000000002,8431,8178,8210
0.309611000000004,8444,8181,8210
0.318623000000002,8450,8178,8213
0.330299000000004,8455,8178,8213
0.339390999999999,8461,8181,8216
0.351095000000001,8458,8181,8216
0.360201000000004,8461,8175,8213
0.371905000000005,8458,8175,8216
0.378500000000003,8458,8181,8213
0.389424000000005,8452,8181,8213
0.397670000000005,8450,8181,8216
0.409128000000003,8458,8178,8216
0.418289999999999,8455,8178,8216
0.429655000000004,8452,8178,8216
0.438774000000002,8452,8178,8216
0.450433000000004,8452,8178,8213
0.456948000000004,8450,8178,8216
0.470778000000003,8450,8178,8218
0.479870000000005,8455,8178,8216
0.488569000000005,8452,8175,8216
0.498965000000005,8452,8178,8216
0.507684000000005,8452,8181,8213
0.520771000000003,8447,8175,8213
0.529721000000002,8447,8175,8218
0.538809000000001,8450,8178,8216
0.547863,8452,8181,8216
0.559431000000004,8452,8175,8213
0.568473000000004,8458,8175,8216
0.580137000000001,8458,8175,8216
0.589203000000005,8458,8173,8216
0.600457000000006,8455,8175,8216
0.609067000000003,8450,8178,8216
0.619941000000004,8447,8178,8216
0.626256000000005,8450,8178,8216
0.637335,8442,8178,8213
0.646194000000001,8444,8178,8216
0.657896000000001,8444,8178,8213
0.668890000000005,8439,8181,8216
0.677443000000004,8439,8178,8216
0.689089000000003,8442,8178,8213
0.69997,8442,8178,8213
0.708929000000005,8436,8178,8216
0.717715000000005,8431,8175,8213
0.729210999999999,8431,8175,8210
0.74071,8431,8175,8213
0.746706000000003,8425,8178,8210
0.758005000000004,8428,8175,8213
0.769606000000003,8425,8175,8210
0.778272000000001,8420,8175,8216
0.789931000000003,8423,8175,8213
0.796287,8433,8175,8213
0.810506000000004,8428,8173,8210
0.819723000000003,8425,8181,8213
0.830290000000005,8431,8175,8213
0.839252999999999,8433,8175,8210
0.847804000000004,8431,8178,8210
0.856861000000002,8425,8178,8210
0.868142000000006,8433,8175,8213
0.877055000000006,8428,8178,8213
0.888705999999999,8436,8175,8213
0.897601999999999,8431,8178,8210
0.909372000000005,8428,8175,8210
0.917821000000004,8428,8181,8210
0.929397000000002,8425,8181,8210
0.937616000000006,8420,8178,8213
0.949153000000003,8425,8181,8213
0.959719,8425,8181,8213
0.967766000000005,8431,8178,8213
0.976767000000002,8433,8178,8210
0.988018000000004,8433,8181,8213
0.996743000000002,8431,8178,8213
1.01058800000001,8436,8178,8213
1.016865,8433,8181,8213
1.027208,8436,8175,8213
1.040391,8436,8178,8213
1.046655,8439,8175,8213
1.058096,8436,8178,8216
1.067154,8436,8175,8213
1.07869700000001,8439,8175,8216
1.087805,8447,8175,8213
1.098541,8444,8178,8218
1.109113,8442,8175,8216
1.11812,8444,8173,8213
1.129736,8433,8181,8216
1.138701,8436,8178,8213
1.146667,8431,8178,8213
1.158269,8433,8178,8210
1.170002,8428,8175,8213
1.178792,8425,8178,8213
1.187181,8423,8178,8210
1.19892,8420,8181,8210
1.211199,8417,8178,8210
1.219921,8420,8181,8208
1.22633,8412,8181,8208
1.23744900000001,8414,8175,8210
1.246329,8409,8178,8210
1.25748,8412,8178,8210
1.266267,8412,8175,8210
1.277376,8409,8173,8208
1.289114,8414,8175,8205
1.29828000000001,8412,8178,8210
1.3099,8409,8175,8208
1.31599300000001,8406,8175,8210
1.32762,8414,8178,8210
1.33649,8412,8175,8208
1.347276,8412,8175,8208
1.35789800000001,8406,8175,8208
1.367016,8406,8175,8210
1.378321,8412,8178,8210
1.387475,8404,8178,8208
1.399241,8404,8178,8205
1.408413,8401,8175,8208
1.419861,8401,8175,8205
1.426379,8398,8178,8208
1.438015,8393,8175,8208
1.446506,8390,8175,8208
1.458002,8393,8175,8208
1.466915,8396,8178,8205
1.478511,8396,8175,8208
1.48902200000001,8390,8175,8205
1.498138,8390,8175,8205
1.50976900000001,8387,8178,8205
1.515656,8393,8175,8205
1.527253,8393,8173,8208
1.536365,8390,8173,8205
1.54549100000001,8396,8178,8205
1.559095,8393,8178,8205
1.565403,8393,8178,8203
1.576838,8390,8178,8203
1.588338,8390,8175,8205
1.596574,8387,8181,8203
1.60792,8385,8181,8205
1.619002,8385,8181,8208
1.625545,8382,8178,8203
1.639026,8379,8178,8205
1.648188,8385,8181,8205
1.654331,8387,8178,8205
1.665267,8385,8178,8205
1.679351,8385,8178,8208
1.688521,8387,8178,8205
1.697487,8387,8181,8205
1.70644100000001,8382,8178,8205
1.718012,8382,8178,8205
1.726206,8379,8178,8203
1.736905,8382,8175,8205
1.746701,8385,8178,8208
1.755488,8385,8178,8205
1.76921,8382,8181,8203
1.778609,8385,8181,8203
1.787818,8382,8178,8205
1.796564,8382,8175,8203
1.808149,8385,8178,8205
1.816875,8382,8178,8208
1.828144,8385,8181,8203
1.834824,8393,8178,8210
1.846341,8390,8178,8205
1.857742,8393,8178,8203
1.865833,8398,8175,8205
1.878309,8393,8175,8208
1.886464,8390,8173,8208
1.897852,8393,8178,8205
1.90642,8393,8175,8203
1.918271,8387,8175,8205
1.927027,8390,8175,8205
1.936055,8390,8178,8205
1.949252,8396,8175,8205
1.955782,8398,8175,8208
1.967438,8396,8178,8208
1.976222,8398,8181,8208
1.98718700000001,8398,8178,8203
1.996065,8396,8181,8210
2.00775,8398,8178,8205
2.018415,8398,8175,8208
2.024407,8401,8175,8208
2.03574,8401,8175,8205
2.047068,8398,8178,8210
2.05622200000001,8398,8178,8208
2.067552,8398,8181,8205
2.074074,8396,8178,8205
2.087746,8390,8181,8205
2.097646,8393,8178,8205
2.108401,8393,8178,8205
2.116508,8387,8175,8208
2.125422,8393,8178,8205
2.13613,8393,8178,8205
2.147871,8390,8178,8203
2.156652,8393,8178,8208
2.165719,8387,8178,8205
2.17729600000001,8390,8178,8205
2.18604000000001,8393,8178,8205
2.19724100000001,8393,8181,8208
2.206368,8393,8178,8205
2.216573,8393,8181,8205
2.228288,8390,8175,8205
